KIC,Teff_SDSS,eTeff_SDSS,[M/H]_SDSS,e[M/H]_SDSS,Radius_SDSS,+eRad_SDSS,-eRad_SDSS,syRad_SDSS,Mass_SDSS,+eMas_SDSS,-eMas_SDSS,syMas_SDSS,logg_SDSS,+elogg_SDSS,-elogg_SDSS,sylogg_SDSS,rho_SDSS,+erho_SDSS,-erho_SDSS,syrho_SDSS,Age_SDSS,+eAge_SDSS,-eAge_SDSS,syAge_SDSS,Teff_ASPC,eTeff_ASPC,[M/H]_ASPC,e[M/H]_ASPC,Radius_ASPC,+eRad_ASPC,-eRad_ASPC,syRad_ASPC,Mass_ASPC,+eMas_ASPC,-eMas_ASPC,syMas_ASPC,logg_ASPC,+elogg_ASPC,-elogg_ASPC,sylogg_ASPC,rho_ASPC,+erho_ASPC,-erho_ASPC,syrho_ASPC,Age_ASPC,+eAge_ASPC,-eAge_ASPC,syAge_ASPC,Gaia,Teff,e_Teff,D,+e_D,-e_D,R,+e_R,-e_R,AV,Evol,Bin
3112889,6433.0,65.0,-0.358,0.102,1.986,0.052000000000000005,-0.05,0.031,1.235,0.04,-0.047,0.042,3.932,0.017,-0.017,0.004,0.1568,0.009464,-0.009384,0.0021920000000000004,3.635,0.409,-0.306,0.366,5871.4,69.27600000000001,-0.358,0.102,1.901,0.058,-0.055,0.031,1.053,0.052000000000000005,-0.05,0.041,3.901,0.017,-0.017,0.006999999999999999,0.1527,0.009448,-0.009132,0.002337,6.87,0.85,-0.778,0.884,2052807725390942848,6113,122,431.305,5.669,5.5379999999999985,1.995,0.08800000000000001,0.083,0.161,1,0
3115178,5046.0,85.0,0.08,0.1,3.0,0.158,-0.145,0.029,1.165,0.138,-0.12,0.029,3.549,0.009000000000000001,-0.009000000000000001,0.002,0.04308,0.002001,-0.001964,0.0004935,6.184,3.085,-2.121,0.527,4843.7,69.27600000000001,0.08,0.1,2.835,0.129,-0.1,0.092,1.02,0.105,-0.078,0.079,3.5410000000000004,0.009000000000000001,-0.009000000000000001,0.005,0.04474,0.001659,-0.0017920000000000004,0.0009254,10.74,3.149,-3.0660000000000003,2.97,2052628612377410688,4935,99,452.49300000000005,4.79,4.703,2.974,0.129,0.122,0.153,2,0
3223000,6198.0,47.0,-0.185,0.1,1.164,0.021,-0.021,0.012,1.069,0.048,-0.046,0.04,4.335,0.011,-0.011,0.006,0.6786,0.02015,-0.02092,0.004558,3.876,0.973,-0.946,1.045,5851.5,69.27600000000001,-0.185,0.1,1.119,0.023,-0.023,0.021,0.941,0.05,-0.047,0.052000000000000005,4.314,0.012,-0.012,0.009000000000000001,0.6709999999999999,0.02012,-0.01988,0.0050030000000000005,8.981,2.03,-1.665,2.148,2099557894653958144,6282,126,124.335,1.082,1.0659999999999998,1.27,0.057,0.054000000000000006,0.06,0,0
3241581,5770.0,81.0,0.185,0.1,1.084,0.024,-0.024,0.017,1.062,0.05,-0.05,0.052000000000000005,4.393,0.015,-0.015,0.006999999999999999,0.8323,0.04446,-0.03341,0.005765999999999999,4.53,1.787,-1.568,2.017,5524.3,69.27600000000001,0.185,0.1,1.053,0.023,-0.023,0.019,0.972,0.044,-0.045,0.055,4.38,0.015,-0.015,0.008,0.8334,0.04266,-0.03325,0.00577,8.876,2.209,-1.99,3.36,2052255843577676288,5713,114,129.66,0.645,0.6409999999999999,1.073,0.045,0.043,0.052000000000000005,0,0
3329196,5161.0,65.0,-0.313,0.101,2.845,0.162,-0.15,0.045,1.098,0.14400000000000002,-0.127,0.049,3.57,0.02,-0.022,0.004,0.04759,0.003355,-0.003244,0.0003972,5.985,3.228,-2.172,0.988,4843.7,69.27600000000001,-0.313,0.101,2.61,0.087,-0.071,0.068,0.862,0.066,-0.04,0.059,3.542,0.02,-0.021,0.006999999999999999,0.04857,0.003195,-0.003119,0.0007552,14.52,1.694,-2.7260000000000004,2.035,2099551641180945280,4976,100,272.686,1.554,1.54,2.749,0.116,0.11,0.054000000000000006,2,0
3424541,6475.0,66.0,0.27,0.1,2.658,0.012,-0.015,0.041,1.824,0.031,-0.034,0.07,3.849,0.006,-0.006,0.006999999999999999,0.09704,0.0009607,-0.0009395,0.001463,1.3159999999999998,0.103,-0.095,0.227,6278.9,69.27600000000001,0.27,0.1,2.653,0.012,-0.014,0.06,1.777,0.03,-0.032,0.124,3.839,0.005,-0.005,0.014,0.09512,0.0008562999999999997,-0.0008089000000000001,0.001865,1.523,0.129,-0.116,0.535,2100127274175097344,6080,122,314.676,2.777,2.736,2.657,0.115,0.109,0.136,1,0
3427720,6023.0,51.0,-0.037000000000000005,0.1,1.117,0.013,-0.015,0.008,1.1,0.039,-0.042,0.024,4.384,0.006,-0.006999999999999999,0.004,0.7906,0.0016879999999999998,-0.002039,0.005817,2.972,1.085,-0.813,0.778,5933.7,69.27600000000001,-0.037000000000000005,0.1,1.107,0.015,-0.015,0.014,1.071,0.043,-0.043,0.042,4.379,0.006999999999999999,-0.006999999999999999,0.006,0.7888,0.001847,-0.002331,0.006548,3.98,1.171,-1.132,1.4,2099985402815368704,6045,121,93.565,0.228,0.228,1.133,0.047,0.045,0.039,0,0
3429205,5116.0,62.0,-0.046,0.1,3.427,0.058,-0.057,0.027000000000000003,1.325,0.062,-0.06,0.028,3.49,0.006999999999999999,-0.006999999999999999,0.002,0.03291,0.0002924,-0.0002909,0.0005078,3.55,0.687,-0.585,0.287,4913.5,69.27600000000001,-0.046,0.1,3.344,0.059,-0.06,0.057,1.238,0.061,-0.059,0.058,3.4810000000000003,0.006999999999999999,-0.006999999999999999,0.005,0.0331,0.0003012,-0.0002996,0.0003577,5.038,1.121,-0.878,0.975,2099234844390196480,5063,101,292.358,2.009,1.987,3.34,0.142,0.135,0.083,2,0
3430893,6270.0,60.0,-0.11,0.1,1.466,0.045,-0.044,0.018000000000000002,1.2,0.053,-0.064,0.032,4.184,0.018000000000000002,-0.018000000000000002,0.002,0.3808,0.02708,-0.0243,0.003023,3.605,0.947,-0.5489999999999999,0.7120000000000001,5847.3,69.27600000000001,-0.11,0.1,1.384,0.049,-0.044,0.035,1.017,0.062,-0.055,0.063,4.163,0.018000000000000002,-0.019,0.006,0.3827,0.02605,-0.0237,0.005203,8.644,1.5759999999999998,-1.536,2.6260000000000003,2099555012732796800,6165,123,288.91,1.945,1.925,1.589,0.067,0.063,0.097,1,0
3437637,5483.0,58.0,-0.255,0.102,2.01,0.069,-0.066,0.02,1.039,0.056,-0.055,0.025,3.847,0.016,-0.017,0.003,0.1277,0.008164,-0.008124,0.0016579999999999998,7.827000000000001,1.143,-0.97,0.489,5285.9,69.27600000000001,-0.255,0.102,1.964,0.073,-0.07,0.048,0.973,0.063,-0.063,0.061,3.839,0.016,-0.017,0.006999999999999999,0.1282,0.008228000000000001,-0.008043000000000002,0.001471,9.959,1.978,-1.59,1.991,2051388122743101824,5448,109,376.504,4.14,4.062,2.07,0.08900000000000001,0.085,0.11,1,0
