KIC,logg_seis_SDSS,logg_seis_err_SDSS,logg_seis_ASPC,logg_seis_err_ASPC,logg_seis_DR14,logg_seis_err_DR14,logg_seis_DR16,logg_seis_err_DR16,R_seis_SDSS,R_seis_err_SDSS,R_seis_ASPC,R_seis_err_ASPC,R_seis_DR14,R_seis_err_DR14,R_seis_DR16,R_seis_err_DR16,M_seis_SDSS,M_seis_err_SDSS,M_seis_ASPC,M_seis_err_ASPC,M_seis_DR14,M_seis_err_DR14,M_seis_DR16,M_seis_err_DR16
10074716,4.194899887942956,0.06351013442353842,4.182571073408007,0.06348080363991804,4.186532962437134,0.0636110400406379,4.187697280759911,0.06362146965653977,1.4830381492404068,0.14991312261716086,1.441529413438645,0.14885554388484845,1.4547400563757606,0.15349945893151556,1.4586453627224905,0.15386569670602712,1.2574899812832145,0.444703710939256,1.15483008673767,0.44328039091849064,1.1868716522736575,0.44957084954532567,1.1964559452410068,0.45007135399085135
10079226,4.368769200735857,0.013037264208022157,4.35987950932665,0.013169190185272683,4.3633737656349,0.01369979530596806,4.363904432956397,0.013660509263136755,1.1566298600762346,0.03413408332188953,1.1331951540281389,0.0381892747847995,1.142349418489824,0.051651061269756576,1.1437461159999032,0.05076071141988918,1.141452913214641,0.09556464328092501,1.073467564814481,0.10151719707942762,1.0996935949035926,0.12305846980064496,1.103732161303344,0.12156750291060818
10081026,3.827211720382276,0.03609903329739071,3.812531618545002,0.036126404349667185,3.816467877552206,0.036568107954489615,3.8165394087074103,0.036379683919502206,2.374230071041836,0.08869096119926376,2.2953171384650224,0.08963139287263587,2.3162154727416113,0.10371904960061981,2.316597000070515,0.09793690758844664,1.3821568260801833,0.26274480822763213,1.2488693794515489,0.2640182459791996,1.2832929088116438,0.28390324559081964,1.2839271658245164,0.2755667602029129
10088136,3.4904723762384386,0.03413842298340191,3.4789263175707017,0.03410027488047067,3.4821746817740062,0.03423511246827434,3.4843146114993533,0.03429500870968739,3.3445642950126793,0.09458329800595712,3.256818005974668,0.09340862810913436,3.2812691446953055,0.09750289226088986,3.2974770712131733,0.09927243795016188,1.2631399601216253,0.27497409797417216,1.1663081179606147,0.2733632029569765,1.1927746242076058,0.27902331355449433,1.2105373124999257,0.2815081193433856
10118942,3.8570138375916265,0.03148150873660496,3.8296945650822285,0.03152683071209336,3.828998722641952,0.0319797904066649,3.8352111646202713,0.03198980505868398,2.225173957464707,0.07660776871638579,2.0895111645518916,0.07817286694492624,2.0861659542675755,0.09247281994346891,2.1162223438740333,0.09276619849274331,1.3002946467278744,0.22578737428512535,1.076673334111336,0.2279230703138996,1.071510496464011,0.2484146275663878,1.1184942496421364,0.24885177878998269
10129349,4.255043529975509,0.06935095349766952,4.244183240207381,0.0693673753468165,4.246742077089632,0.06950744418916564,4.249076662122089,0.0695039321542481,1.8180074380451758,0.16120144581918658,1.7731087213230337,0.16179972400949455,1.7835866081474068,0.16682108388517541,1.793200238155986,0.16669690685680474,2.170375315707814,0.4821570232658344,2.013510840427368,0.48295794154975874,2.0494177002633864,0.4897436744484656,2.082736067195059,0.4895745148292451
10130853,3.3867971933449867,0.008000204571165025,3.3790779137837994,0.007887180829901858,3.3807048106539974,0.007973556003927663,3.3808479720279867,0.008120487537614166,3.936943006129699,0.035786520706857256,3.8675848301860007,0.03359091042954334,3.8821002386991297,0.03527838795000256,3.883380150001703,0.03801532507410158,1.3785275461493454,0.080931170093116,1.3069458981153368,0.07707497057653669,1.3217164665063712,0.08003382198067967,1.323024189806308,0.08489884449973419
10147635,3.7495340797266112,0.007489126739346631,3.736341825736244,0.007576961041662406,3.739849975404312,0.008884723119939047,3.7410789713951917,0.008414700844139035,2.7155552736847453,0.02743632861981676,2.6343070434307294,0.02941104884948789,2.655672661009562,0.05187711571827589,2.663198507240426,0.044737788001551176,1.511998547047025,0.06689521122163847,1.3803035719699686,0.07017121881196857,1.4141616670256272,0.11058436287666927,1.4262184451444064,0.09731310021233659
10162436,3.974649626295921,0.00854142846181141,3.9696584707606286,0.008073569126337849,3.9725224734032203,0.00918791262414031,3.9686382505054225,0.00904188446747198,2.015871476594182,0.0383882481961956,1.9928365705855735,0.028534720429565338,2.0060219786718583,0.049456658712511405,1.9881606050185021,0.047118332376021865,1.399185532985408,0.08642984135918803,1.3517669982300542,0.06951552459024792,1.3787764198183567,0.10658016439801014,1.342274002338996,0.10225476058684324
10186764,4.088063123201894,0.04124758546324958,4.071838409676029,0.041248898293778084,4.079893018023958,0.041559407925659514,4.0778003476058755,0.0415906289594126,1.751581424774448,0.10049333440484039,1.687351715601252,0.10053903580146588,1.71893805244469,0.11085721480122165,1.7106751840708634,0.11184607399228333,1.3715883418021728,0.29713339670904737,1.2261670585905244,0.2971952309176538,1.2963237251867301,0.31152833369467475,1.2777193099597965,0.3129389580582659
10214328,4.074646445720103,0.06988064401360072,4.046104357340402,0.0698795328177675,4.065049292292387,0.07006600194242332,4.06058911402004,0.07002606825201389,2.1420805258874482,0.16308619051691453,2.0058280697746587,0.16304579510778325,2.095263461373297,0.1696986270690061,2.073855349510905,0.1682945322099161,1.9889232823535659,0.4865214521328366,1.6330209882642008,0.48646729226689395,1.8613436900422573,0.49548481041560605,1.8048704582104675,0.4935654966903426
10215584,4.279496252811151,0.09477493389995106,4.264404655478051,0.09479061576964416,4.267275046691433,0.09486271569756471,4.267513321599176,0.09485116302666732,0.9561339153679149,0.2193484713054826,0.9234792172265649,0.2199225561150847,0.9296030016374074,0.22254415392404703,0.9301131666357829,0.22212603979321593,0.6350876972363935,0.656670088294036,0.5722145646660618,0.6574376929844066,0.5836736418368531,0.6609570327842562,0.584635127463452,0.6603942062289447
10272858,3.4613965115302143,0.007108370986389571,3.4488978787271005,0.007200788915698249,3.449600161658957,0.007431625072859869,3.45415204304085,0.007616744774258165,3.7226613464384366,0.030134107793200374,3.6170532052361106,0.03194129112119513,3.6229069514259167,0.03614936774547898,3.661078671774476,0.03928222203869061,1.4635365447457713,0.06901312278622578,1.342479531726697,0.07219098018931142,1.3490079892101818,0.07973493876795355,1.392099142134149,0.08545715405936335
