id_starname,teff,teff_err,logg,logg_err,feh,feh_err,lum,lum_err,gmag,gmag_err,rmag,rmag_err,imag,imag_err,zmag,zmag_err,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,gamag,gamag_err,bpmag,bpmag_err,rpmag,rpmag_err,parallax,parallax_err,bmag,bmag_err,vmag,vmag_err,btmag,btmag_err,vtmag,vtmag_err,numax,numax_err,dnu,dnu_err,dmag,dmag_err,ra,dec,band,dir_dis,dir_dis_err1,dir_dis_err2,dir_avs,dir_avs_err1,dir_avs_err2,dir_rad,dir_rad_err1,dir_rad_err2,dir_lum,dir_lum_err1,dir_lum_err2,dir_teff,dir_teff_err1,dir_teff_err2,dir_mabs,dir_mabs_err1,dir_mabs_err2,dir_mass,dir_mass_err1,dir_mass_err2,dir_rho,dir_rho_err1,dir_rho_err2
KIC5950854,5914.0347,134.6,4.237158310328287,0.009835588893366536,-0.17308477,0.07396448,-99,0,-99,0,-99,0,-99,0,-99,0,9.857,0.021,-99,0,9.547,0.019,-99,0,-99,0,-99,0,0.00435470296963703,2.7379627657518224e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,288.78362158579137,41.29887104678695,kmag,229.66627666276662,1.4376935769357715,-1.4237542375423686,0.1528775993914605,0.0,-0.0,1.2848600801952763,0.06418536942397135,-0.06020560670540687,1.81384417868539,0.06256473034300214,-0.05998021890193583,5914.0347,134.6,-134.6,2.7263444258287732,0.036510179209960913,-0.03681877684866519,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC7799349,4976.787,82.60566,3.6709836387767134,0.007718492970201674,0.28461868,0.029483877,-99,0,-99,0,-99,0,-99,0,-99,0,8.06,0.026,-99,0,7.518,0.016,-99,0,-99,0,-99,0,0.005484198170389129,2.031819537153801e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,281.0531989805502,43.53386218210304,kmag,182.34917349173492,0.6708067080670901,-0.6676866768667651,0.0,0.0,-0.0,2.833237158816746,0.1054455229152702,-0.10112132163902388,4.4218543282850415,0.13870062812526918,-0.1332359188367187,4976.787,82.60566,-82.60566,1.213493285927628,0.03321756435681422,-0.03353315561016457,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC5822889,5184.0103,94.43386,3.4017062807563425,0.012166579945117998,-0.026246369,0.03918645,-99,0,-99,0,-99,0,-99,0,-99,0,9.633,0.021,-99,0,9.056,0.017,-99,0,-99,0,-99,0,0.0017023897464350573,3.761170123830725e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,299.49272568872027,41.06972572969498,kmag,588.3867038670387,13.1767217672176,-12.645556455564588,0.1528775993914605,0.0,-0.0,4.448510931199602,0.2064085972216292,-0.19578158333141094,12.830989106035215,0.7073186650751033,-0.6652335669185874,5184.0103,94.43386,-94.43386,0.19233663680672838,0.05780262705565617,-0.05826061649373146,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC12069569,6062.4185,168.10576,3.8257120116400456,0.06099863276475436,-0.08424437,0.06665865,-99,0,-99,0,-99,0,-99,0,-99,0,10.286,0.021,-99,0,10.039,0.014,-99,0,-99,0,-99,0,0.0018195899586133692,2.49174053834781e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,295.5290266410778,50.52748469031018,kmag,549.9173791737917,7.557705577055799,-7.374824948249511,0.21402865281636801,0.0,-0.0,2.4270412577392806,0.14818928047329694,-0.13719458053844802,7.144911368508911,0.2912443057814862,-0.27787647222078515,6062.4185,168.10576,-168.10576,1.3162894969454781,0.04306897861810666,-0.043379068121849995,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC6947945,5334.438,103.4667,3.7940632161626073,0.01100358534042036,-0.04151237,0.043106824,-99,0,-99,0,-99,0,-99,0,-99,0,9.774,0.02,-99,0,9.328,0.015,-99,0,-99,0,-99,0,0.00286682557917845,3.7864732785466064e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,291.6013069926766,42.48449151948921,kmag,349.0285452854529,4.6240712407123965,-4.516970169701722,0.1528775993914605,0.0,-0.0,2.2879923761970686,0.1022213258847926,-0.09691680044407036,3.806102939323247,0.1538181299789687,-0.14704655037557846,5334.438,103.4667,-103.4667,1.5985084769823983,0.04277856904643951,-0.04301499876741022,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC8016496,6335.1895,150.45726000000005,3.981427955566273,0.04277431075505722,0.08688585,0.09108436,-99,0,-99,0,-99,0,-99,0,-99,0,10.41,0.024,-99,0,10.183,0.016,-99,0,-99,0,-99,0,0.0020461776923544955,4.8709689947734637e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,286.8507207026495,43.8087075996628,kmag,489.6841268412684,11.842718427184309,-11.326153261532568,0.2751796834607367,0.0,-0.0,1.9753207239897803,0.11229552288245581,-0.10540189799643085,5.642041645544357,0.3265216037696046,-0.3053333944890966,6335.1895,150.45726000000005,-150.45726000000005,1.7059981192396787,0.060407065468686794,-0.06108378248296509,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC10070754,6410.3516,158.42305,4.2988759884366825,0.0471316191088727,-0.27157915,0.0855183,-99,0,-99,0,-99,0,-99,0,-99,0,9.413,0.025,-99,0,9.175,0.014,-99,0,-99,0,-99,0,0.004921467727232712,2.401550863486203e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,290.07588942284303,47.041092055974865,kmag,203.20628206282063,0.9856898568985741,-0.9789025890259211,0.1528775993914605,0.0,-0.0,1.2936647766538878,0.06899123685225717,-0.06427691014722647,2.538071875233964,0.07917786134880167,-0.07598415259302493,6410.3516,158.42305,-158.42305,2.620234471160234,0.03300098533718154,-0.0333531203016908,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC6802438,5196.9670000000015,95.67622,3.678848253773519,0.012742467538505315,-0.20154336,0.043351967000000005,-99,0,-99,0,-99,0,-99,0,-99,0,9.367,0.02,-99,0,8.87,0.012,-99,0,-99,0,-99,0,0.002963907738634712,2.627199945789874e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,298.0107424770336,42.20221306720447,kmag,337.48056480564804,2.986119861198574,-2.9422262222622635,0.12230208406927617,0.0,-0.0,2.7757772691793523,0.11492977644587121,-0.10932339189120288,5.04639999491707,0.17221311802608952,-0.16412156185692783,5196.9670000000015,95.67622,-95.67622,1.2167572382907899,0.03589781975150852,-0.036433574964847004,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC3942719,5653.2954,126.50254,3.83861232956371,0.0129406524970641,-0.31492338,0.060011942,-99,0,-99,0,-99,0,-99,0,-99,0,9.547,0.02,-99,0,9.131,0.018000000000000002,-99,0,-99,0,-99,0,0.0030784353656663965,4.5435359083894754e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,287.9924951449109,39.03704189015113,kmag,325.0890108901089,4.821225812258149,-4.694864548645512,0.0,0.0,-0.0,2.2472543505910814,0.11467510907196399,-0.10803223200956547,4.631670358944021,0.20220523941868862,-0.19249611001841682,5653.2954,126.50254,-126.50254,1.570939536169122,0.04608862519405954,-0.046394567189492086,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC3112152,5937.899,130.73898,4.040597722433964,0.02026950399123071,-0.022780258,0.074551165,-99,0,-99,0,-99,0,-99,0,-99,0,10.765999999999998,0.019,-99,0,10.442,0.018000000000000002,-99,0,-99,0,-99,0,0.0021284755349154283,2.351465463724827e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,290.34301932049607,38.286899144920675,kmag,470.010190101901,5.196115961159649,-5.09691496914968,0.305755198782921,0.0,-0.0,1.7485324426722095,0.08640341892582604,-0.08110860875217907,3.41330304403289,0.1322942149649009,-0.12663316507141342,5937.899,130.73898,-130.73898,2.0512221491025526,0.04104690841064018,-0.04128638729564038,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC4457351,5266.6953,100.036446,3.964329840306272,0.017045383451039328,-0.27984336,0.04706973,-99,0,-99,0,-99,0,-99,0,-99,0,9.847,0.018000000000000002,-99,0,9.424,0.016,-99,0,-99,0,-99,0,0.003318866819120849,3.5356781903282225e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,289.5538465014463,39.56550614915529,kmag,301.42487424874247,3.211822118221221,-3.1535715357153435,0.21402865281636801,0.0,-0.0,1.9170546490893645,0.08304963838623514,-0.07874619890172352,2.5389451688424685,0.09509403440976083,-0.09130031268735195,5266.6953,100.036446,-100.036446,2.0069303962005156,0.03976229586935798,-0.03992228120899832,0.0,0.0,-0.0,0.0,0.0,-0.0
