id_starname,teff,teff_err,logg,logg_err,feh,feh_err,lum,lum_err,gmag,gmag_err,rmag,rmag_err,imag,imag_err,zmag,zmag_err,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,gamag,gamag_err,bpmag,bpmag_err,rpmag,rpmag_err,parallax,parallax_err,bmag,bmag_err,vmag,vmag_err,btmag,btmag_err,vtmag,vtmag_err,numax,numax_err,dnu,dnu_err,dmag,dmag_err,ra,dec,band,dir_dis,dir_dis_err1,dir_dis_err2,dir_avs,dir_avs_err1,dir_avs_err2,dir_rad,dir_rad_err1,dir_rad_err2,dir_lum,dir_lum_err1,dir_lum_err2,dir_teff,dir_teff_err1,dir_teff_err2,dir_mabs,dir_mabs_err1,dir_mabs_err2,dir_mass,dir_mass_err1,dir_mass_err2,dir_rho,dir_rho_err1,dir_rho_err2
KIC12069569,-99,0,3.827979802126693,0.06090329297876746,-0.04928,0.013496189,-99,0,-99,0,-99,0,-99,0,-99,0,10.286,0.021,-99,0,10.039,0.014,-99,0,-99,0,-99,0,0.0018195899586133692,2.49174053834781e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,295.5290266410778,50.52748469031018,kmag,549.9173791737917,7.557705577055799,-7.374824948249511,0.21402865281636801,0.0,-0.0,2.3325110670769407,0.10709066750275475,-0.10119193201978538,8.864837842268066,0.36135277403386645,-0.3447670292000904,6526.752173271107,130.53504346542212,-130.53504346542212,1.3162894969454781,0.04306897861810666,-0.043379068121849995,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC7799349,-99,0,3.6706640610173698,0.007817825974617108,0.23765846,0.0060181054,-99,0,-99,0,-99,0,-99,0,-99,0,8.06,0.026,-99,0,7.518,0.016,-99,0,-99,0,-99,0,0.005484198170389129,2.031819537153801e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,281.0531989805502,43.53386218210304,kmag,182.34917349173492,0.6708067080670901,-0.6676866768667651,0.0,0.0,-0.0,2.812490991194392,0.12368534183980273,-0.11687831750621225,4.584982433985985,0.14381747934781597,-0.1381511696427271,5040.296606043754,100.80593212087508,-100.80593212087508,1.213493285927628,0.03321756435681422,-0.03353315561016457,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC5950854,-99,0,4.233009478728791,0.00963336462955284,-0.220939,0.011169639,-99,0,-99,0,-99,0,-99,0,-99,0,9.857,0.021,-99,0,9.547,0.019,-99,0,-99,0,-99,0,0.00435470296963703,2.7379627657518224e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,288.78362158579137,41.29887104678695,kmag,229.66627666276662,1.4376935769357715,-1.4237542375423686,0.1528775993914605,0.0,-0.0,1.2565004517134561,0.05597125277535331,-0.052901455007278164,2.055405992895261,0.07089689577639824,-0.0679681875846474,6170.310313460918,123.40620626921837,-123.40620626921837,2.7263444258287732,0.036510179209960913,-0.03681877684866519,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC5822889,-99,0,3.3999393468027077,0.01219234599496685,-0.08265655,0.0077440105,-99,0,-99,0,-99,0,-99,0,-99,0,9.633,0.021,-99,0,9.056,0.017,-99,0,-99,0,-99,0,0.0017023897464350573,3.761170123830725e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,299.49272568872027,41.06972572969498,kmag,588.3867038670387,13.1767217672176,-12.645556455564588,0.1528775993914605,0.0,-0.0,4.537982673071397,0.22477059661284748,-0.21242854800780453,11.752608040506313,0.6478720355589616,-0.6093239813994309,5021.213650022188,100.42427300044376,-100.42427300044376,0.19233663680672838,0.05780262705565617,-0.05826061649373146,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC8016496,-99,0,3.980643806457938,0.042789088195113074,0.08806,0.015366518,-99,0,-99,0,-99,0,-99,0,-99,0,10.41,0.024,-99,0,10.183,0.016,-99,0,-99,0,-99,0,0.0020461776923544955,4.8709689947734637e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,286.8507207026495,43.8087075996628,kmag,489.6841268412684,11.842718427184309,-11.326153261532568,0.2751796834607367,0.0,-0.0,1.923140676813889,0.09669121353677612,-0.09126747457700524,6.556178147034139,0.3794253813882058,-0.3548042099423441,6666.132635361409,133.32265270722817,-133.32265270722817,1.7059981192396787,0.060407065468686794,-0.06108378248296509,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC6947945,-99,0,3.7941489275048967,0.010977811184577541,-0.07018055,0.008910153,-99,0,-99,0,-99,0,-99,0,-99,0,9.774,0.02,-99,0,9.328,0.015,-99,0,-99,0,-99,0,0.00286682557917845,3.7864732785466064e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,291.6013069926766,42.48449151948921,kmag,349.0285452854529,4.6240712407123965,-4.516970169701722,0.1528775993914605,0.0,-0.0,2.2427293340024734,0.10269871336170588,-0.0972976359454707,4.214798699092485,0.17033497634393147,-0.1628362708811082,5527.110616918042,110.54221233836084,-110.54221233836084,1.5985084769823983,0.04277856904643951,-0.04301499876741022,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC10070754,-99,0,4.2977667795542684,0.047090392703121146,-0.214199,0.017159715,-99,0,-99,0,-99,0,-99,0,-99,0,9.413,0.025,-99,0,9.175,0.014,-99,0,-99,0,-99,0,0.004921467727232712,2.401550863486203e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,290.07588942284303,47.041092055974865,kmag,203.20628206282063,0.9856898568985741,-0.9789025890259211,0.1528775993914605,0.0,-0.0,1.2776701288893586,0.05615162644008076,-0.053091418014280745,2.7022799198318763,0.0843005065797735,-0.08090017141797734,6552.446135028218,131.04892270056436,-131.04892270056436,2.620234471160234,0.03300098533718154,-0.0333531203016908,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC6802438,-99,0,3.682717623464401,0.012798538175965312,-0.20454155,0.009137689,-99,0,-99,0,-99,0,-99,0,-99,0,9.367,0.02,-99,0,8.87,0.012,-99,0,-99,0,-99,0,0.002963907738634712,2.627199945789874e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,298.0107424770336,42.20221306720447,kmag,337.48056480564804,2.986119861198574,-2.9422262222622635,0.12230208406927617,0.0,-0.0,2.7408792923997023,0.12183467671526271,-0.11530994292469376,5.365598054276747,0.1831060502402515,-0.17450268188241225,5310.720151278971,106.21440302557941,-106.21440302557941,1.2167572382907899,0.03589781975150852,-0.036433574964847004,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC11070918,-99,0,3.813632612714252,0.021614639436806384,0.104061,0.016102022,-99,0,-99,0,-99,0,-99,0,-99,0,8.808,0.044,-99,0,8.597999999999999,0.018000000000000002,-99,0,-99,0,-99,0,0.004442705942242375,3.0226381695346284e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,284.22234557922815,48.693965543343886,kmag,225.12222122221223,1.5255752557525568,-1.509375093750947,0.0,0.0,-0.0,1.8297793552788324,0.08151056092930586,-0.07703173296954491,5.410030836401958,0.18601737399209295,-0.17850523049568423,6512.722702786332,130.25445405572663,-130.25445405572663,1.8358638119158361,0.03642846299560709,-0.03670426696737672,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC4457351,-99,0,3.9676204652853646,0.017073432292945553,-0.273469,0.009474037,-99,0,-99,0,-99,0,-99,0,-99,0,9.847,0.018000000000000002,-99,0,9.424,0.016,-99,0,-99,0,-99,0,0.003318866819120849,3.5356781903282225e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,289.5538465014463,39.56550614915529,kmag,301.42487424874247,3.211822118221221,-3.1535715357153435,0.21402865281636801,0.0,-0.0,1.8341380524946516,0.08290666129054802,-0.07844509346214079,3.160790605599348,0.11838472697224489,-0.11366183648701389,5687.478810370453,113.74957620740906,-113.74957620740906,2.0069303962005156,0.03976229586935798,-0.03992228120899832,0.0,0.0,-0.0,0.0,0.0,-0.0
