id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,jmag,jmag_err,kmag,kmag_err,ra,dec,band,dust,comments
KIC1435467,6096.7,69.27600000000001,4.1000435134394815,0.0077229357439443595,-0.028,0.099,0.007337584408721481,3.017258342924623e-05,7.983,0.024,7.718,0.017,292.0826387546914,37.05987401545169,kmag,green19,using DR13 feh and ASPC teff
KIC2010607,6013.5,69.27600000000001,3.7857056488235865,0.09441148337001992,-0.07,0.1,0.001628592276149511,2.6386132806215326e-05,10.427,0.02,10.155,0.019,290.50559137541734,37.45893516017856,kmag,green19,using DR13 feh and ASPC teff
KIC2309595,5000.2,69.27600000000001,3.7247354620678568,0.00918059988421563,-0.095,0.101,0.0025978996763661847,2.7855535546288746e-05,10.04,0.022000000000000002,9.5,0.018000000000000002,292.9014487360415,37.62450961132608,kmag,green19,using DR13 feh and ASPC teff
KIC2450729,5840.4,69.27600000000001,3.972583307694107,0.04764265644031235,-0.212,0.1,0.003686056444792692,2.9286424557973688e-05,9.585,0.02,9.283,0.018000000000000002,293.0736309167399,37.71658174566087,kmag,green19,using DR13 feh and ASPC teff
KIC2837475,6335.4,69.27600000000001,4.179901277909355,0.006888230534541956,-0.015,0.1,0.008297790541507515,2.8966141777005033e-05,7.649,0.021,7.4639999999999995,0.027000000000000003,287.54857383346314,38.082133584002044,kmag,green19,using DR13 feh and ASPC teff
KIC2849125,6074.4,69.27600000000001,3.817525562837208,0.017094953462387995,0.293,0.101,0.0016848882360613964,2.5075703269819563e-05,10.327,0.021,10.037,0.018000000000000002,290.7306604068038,38.08566498955752,kmag,green19,using DR13 feh and ASPC teff
KIC2852862,6008.1,69.27600000000001,3.9490429919930983,0.008752863925152777,-0.155,0.1,0.0026223523626434137,2.3537137303475008e-05,9.772,0.021,9.511000000000001,0.018000000000000002,291.52574513998627,38.04342678382253,kmag,green19,using DR13 feh and ASPC teff
KIC2991448,5576.0,69.27600000000001,3.9858627116946392,0.008681095143114865,-0.085,0.1,0.0035872019531703637,2.9688377756963982e-05,9.602,0.026000000000000002,9.225,0.021,291.8246955697834,38.113118330002926,kmag,green19,using DR13 feh and ASPC teff
KIC2998253,6235.8,69.27600000000001,4.239587412508753,0.05231864180255463,0.057,0.1,0.003963774677866837,2.4479853933468452e-05,9.655,0.02,9.396,0.018000000000000002,293.29146028171164,38.107248884604296,kmag,green19,using DR13 feh and ASPC teff
KIC3112152,5778.5,69.27600000000001,4.034688878119725,0.019868847615353232,-0.136,0.1,0.002128475534915428,2.3514654637248268e-05,10.765999999999998,0.019,10.442,0.018000000000000002,290.34301932049607,38.286899144920675,kmag,green19,using DR13 feh and ASPC teff
KIC3112889,5871.4,69.27600000000001,3.8915410205693037,0.03309670155333345,-0.358,0.102,0.002339925816955447,3.0353271541793525e-05,10.208,0.021,9.925,0.018000000000000002,290.5380106789846,38.24198422575043,kmag,green19,using DR13 feh and ASPC teff
KIC3115178,4843.7,69.27600000000001,3.541800572438216,0.009418881824798038,0.08,0.1,0.002230802699163827,2.3389227326496412e-05,10.011000000000001,0.021,9.421,0.018000000000000002,291.11691830325594,38.213817615945956,kmag,green19,using DR13 feh and ASPC teff
KIC3223000,5851.5,69.27600000000001,4.361001197273327,0.09518777710288406,-0.185,0.1,0.008064882276846326,7.006927110081627e-05,8.455,0.021,8.156,0.034,287.9627852603288,38.39566597017495,kmag,green19,using DR13 feh and ASPC teff
KIC3241581,5524.3,69.27600000000001,4.386362960628338,0.06139379811401425,0.185,0.1,0.007733148039824818,3.8620954055524035e-05,9.101,0.022000000000000002,8.711,0.018000000000000002,293.0853050465206,38.34166868111962,kmag,green19,using DR13 feh and ASPC teff
KIC3329196,4843.7,69.27600000000001,3.5480610513940687,0.0315346915574463,-0.313,0.101,0.003687585299183595,2.104483439160869e-05,8.982000000000001,0.026000000000000002,8.478,0.018000000000000002,287.6139781083662,38.48114279439915,kmag,green19,using DR13 feh and ASPC teff
KIC3424541,6278.9,69.27600000000001,3.8521118508895933,0.007529505629441612,0.27,0.1,0.003198730322999267,2.8134528388818565e-05,8.863,0.019,8.613999999999999,0.024,285.17906527017163,38.57362018548515,kmag,green19,using DR13 feh and ASPC teff
KIC3427720,5933.7,69.27600000000001,4.3891396759186465,0.010294412123683112,-0.037000000000000005,0.1,0.010707861664233377,2.632074417220617e-05,8.094,0.02,7.8260000000000005,0.017,286.4382560026279,38.52262835693347,kmag,green19,using DR13 feh and ASPC teff
