id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,comments
KIC1435467,6215.0483,140.4457,4.10421835486515,0.00881104362027405,0.00075433217,0.08088637,0.007337584408721481,3.017258342924623e-05,7.718,0.017,292.0826387546914,37.05987401545169,kmag,allsky,using APOGEE DR14 m_h and teff
KIC2010607,6315.1045,142.2364,3.796332261917653,0.09450497794189244,0.06549585,0.083319224,0.001628592276149511,2.6386132806215326e-05,10.155,0.019,290.50559137541734,37.45893516017856,kmag,allsky,using APOGEE DR14 m_h and teff
KIC2309595,5074.0425,88.33419,3.7279188244519843,0.009461670274024678,-0.01529737,0.036552176,0.0025978996763661847,2.7855535546288746e-05,9.5,0.018000000000000002,292.9014487360415,37.62450961132608,kmag,allsky,using APOGEE DR14 m_h and teff
KIC2450729,6004.721,136.88783,3.9786084282443683,0.04782983784896823,-0.13752252,0.07598133,0.003686056444792692,2.9286424557973688e-05,9.283,0.018000000000000002,293.0736309167399,37.71658174566087,kmag,allsky,using APOGEE DR14 m_h and teff
KIC2837475,6374.808000000001,148.83867,4.181247812268579,0.008216691379543312,-0.05169815,0.08475317,0.008297790541507515,2.8966141777005033e-05,7.4639999999999995,0.027000000000000003,287.54857383346314,38.082133584002044,kmag,allsky,using APOGEE DR14 m_h and teff
KIC2849125,6069.326,138.8985,3.817344102029428,0.017629529069782168,0.29047602,0.09000496,0.0016848882360613964,2.5075703269819563e-05,10.037,0.018000000000000002,290.7306604068038,38.08566498955752,kmag,allsky,using APOGEE DR14 m_h and teff
KIC2852862,6115.3374,140.58768,3.9528846273512666,0.009760349481898923,-0.11996241,0.07850149,0.0026223523626434137,2.3537137303475008e-05,9.511000000000001,0.018000000000000002,291.52574513998627,38.04342678382253,kmag,allsky,using APOGEE DR14 m_h and teff
KIC2991448,5588.1626,118.91807,3.9863358463438363,0.009457087074829515,-0.03417071,0.0672645,0.0035872019531703637,2.9688377756963982e-05,9.225,0.021,291.8246955697834,38.113118330002926,kmag,allsky,using APOGEE DR14 m_h and teff
KIC2998253,6122.4883,137.04503,4.235605305606861,0.05248853331763252,-0.00462104,0.07871389,0.003963774677866837,2.4479853933468452e-05,9.396,0.018000000000000002,293.29146028171164,38.107248884604296,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3112152,5937.899,130.73898,4.040597722433964,0.02026950399123071,-0.022780257999999998,0.074551165,0.002128475534915428,2.3514654637248268e-05,10.442,0.018000000000000002,290.34301932049607,38.286899144920675,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3112889,6143.901999999999,144.92775,3.901392326191054,0.033392586897529136,-0.21463376,0.07911252,0.002339925816955447,3.0353271541793525e-05,9.925,0.018000000000000002,290.5380106789846,38.24198422575043,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3115178,4882.763,78.35863499999999,3.5435447765295742,0.009550583565419437,0.13854305,0.030216700000000003,0.002230802699163827,2.3389227326496412e-05,9.421,0.018000000000000002,291.11691830325594,38.213817615945956,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3223000,5979.4927,136.42706,4.3656997625991565,0.09528194930142564,-0.15295815,0.07541221,0.008064882276846326,7.006927110081627e-05,8.156,0.034,287.9627852603288,38.39566597017495,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3241581,5599.9614,111.08939,4.389316849793406,0.06148446367453056,0.2623322,0.06755555,0.007733148039824818,3.8620954055524035e-05,8.711,0.018000000000000002,293.0853050465206,38.34166868111962,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3329196,4912.5283,80.697914,3.5511249656334103,0.03158346666127232,-0.24998295,0.03781235,0.003687585299183595,2.104483439160869e-05,8.478,0.018000000000000002,287.6139781083662,38.48114279439915,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3424541,6328.444,136.86223999999999,3.853818538402363,0.008544427857317786,0.24082085,0.08367235,0.003198730322999267,2.8134528388818565e-05,8.613999999999999,0.024,285.17906527017163,38.57362018548515,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3427720,5992.9775,131.7569,4.3912982069205615,0.011060698603970723,0.008969495,0.07577853,0.010707861664233377,2.632074417220617e-05,7.8260000000000005,0.017,286.4382560026279,38.52262835693347,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3429205,4996.9717,84.27175,3.4856656835022215,0.007705731793985731,0.0037456090000000004,0.034630593,0.0034410391191519504,2.3558042629147076e-05,8.183,0.02,287.0070337616333,38.52538571912825,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3430893,6046.743,134.81552,4.188113808459457,0.023440375051846662,-0.024308372,0.07697412,0.003481765864196545,2.3377313744692613e-05,9.519,0.017,287.62135117974776,38.538486509213726,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3437637,5374.771,106.38018999999998,3.853559627267935,0.02437601348440364,-0.15563336,0.046895735,0.002677070740577992,2.9209311975746182e-05,9.682,0.018000000000000002,289.76039294023775,38.575285918186395,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3438633,6313.0596,149.9049,3.951533994470136,0.0180311509669469,-0.15694915,0.08317987,0.002346962642649052,2.779121561906524e-05,9.922,0.017,290.02825727825206,38.59797388242753,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3545753,5935.5073,149.77103,3.8282987540909534,0.039056135580974,-0.26089337,0.06866702,0.0021695310623933667,2.3641097556435684e-05,9.675,0.018000000000000002,291.7271257694145,38.689477715274045,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3630240,5041.6553,89.59494000000001,3.3219475293385883,0.012019734660931564,-0.5496945,0.04725237,0.0017076015186085903,2.6273681416432124e-05,9.73,0.017,286.51700433122045,38.72657875626482,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3632418,6106.7866,140.9437,3.7987565619587147,0.021623133359230468,-0.14064604,0.078294255,0.009235910602542276,3.230708740761089e-05,6.945,0.018000000000000002,287.36196731685897,38.71413838052882,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3633847,6075.4927,130.49477,4.015237221398071,0.0343029908825399,0.14459234,0.07767128,0.0035613612598080968,5.6342212231332684e-05,8.972000000000001,0.018000000000000002,287.8961603529516,38.74379584761459,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3633889,6234.848000000001,147.2917,4.267579266740039,0.01451055762285644,-0.17584002,0.081279285,0.005195750046215034,2.521205806241453e-05,8.946,0.018000000000000002,287.9141350847669,38.73456885165679,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3642422,5163.997,93.084335,3.617238611650656,0.04352694307038068,0.05365563,0.037121292,0.00273427257562015,5.0669349385215325e-05,8.493,0.018000000000000002,290.5399483790872,38.760306531400225,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3643774,5975.07,124.95198,4.150013581659911,0.015823190677519118,0.20834333,0.075421065,0.005358582286245501,2.6679888179404904e-05,8.572000000000001,0.017,290.9470668778781,38.77706175365137,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3656476,5583.028,109.90648,4.226422268583652,0.00803295733595025,0.28696409999999994,0.06722105,0.008735325993096062,2.5428765949993292e-05,8.008,0.017,294.2039287839221,38.71591251963522,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3657002,5972.0654,126.948494,4.1591339367396785,0.026478321885019213,0.13935064,0.07534578,0.006061532772919417,2.9322508029842923e-05,8.427,0.02,294.33265110237653,38.74471821259211,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3661135,5542.7446,114.75131999999999,3.941181922109525,0.01457176920980921,0.061983887,0.06640086,0.003458845974828332,3.357828480433447e-05,9.241,0.017,295.26355752691325,38.74576478606007,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3730801,5767.245,124.30084,4.121445980454768,0.016844514307710716,0.22452693,0.07723251,0.002751533518299869,2.253401401133213e-05,10.015,0.015,286.11974867103766,38.81169925578071,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3733735,6509.709,156.03395,4.296924668668829,0.0096980849768486,-0.08574915,0.08816296,0.00977741180592977,2.7185261446399504e-05,7.374,0.021,287.2581560064136,38.899730155758455,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3735871,5960.385,131.76004,4.404093513987837,0.0122145866415655,-0.029105559,0.07504323,0.008213453724282702,2.613130909246497e-05,8.477,0.018000000000000002,288.06919662698033,38.81757141752832,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3761840,5918.376,146.97963000000001,3.7635856686664284,0.03052997648800192,0.02165013,0.058475364,0.0018491191695441357,2.6582280622992008e-05,9.584,0.018000000000000002,295.17490810966336,38.802256475923116,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3854781,5567.6387,108.367455,4.011976860073056,0.01375835593115033,0.3272665,0.066917695,0.0030444461630352738,2.8633967065165162e-05,9.634,0.018000000000000002,292.63968809497464,38.91403197192479,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3942719,5653.2954,126.50254,3.83861232956371,0.0129406524970641,-0.31492338,0.060011942,0.0030784353656663965,4.543535908389475e-05,9.131,0.018000000000000002,287.9924951449109,39.03704189015113,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3952307,6025.6973,133.27448,3.887852187937965,0.029336895297301636,-0.0007737037,0.07650756,0.0029424392644576062,2.909528476433522e-05,9.248,0.018000000000000002,290.9361423530763,39.000647146137226,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3952580,6108.7397,165.04321000000002,3.7577552464214263,0.014618739797136038,-0.008717369,0.06636339999999999,0.0024639781261735355,2.879345337855644e-05,9.001,0.018000000000000002,291.0203567708545,39.01637935472562,kmag,allsky,using APOGEE DR14 m_h and teff
KIC3967859,5969.2925,140.58989,4.153637748715628,0.05640095274394525,-0.29230508,0.07510497,0.0050341271473956116,3.73243279342521e-05,9.231,0.017,294.9674846394449,39.047628649549814,kmag,allsky,using APOGEE DR14 m_h and teff
