id_starname,teff,teff_err,logg,logg_err,feh,feh_err,lum,lum_err,gmag,gmag_err,rmag,rmag_err,imag,imag_err,zmag,zmag_err,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,gamag,gamag_err,bpmag,bpmag_err,rpmag,rpmag_err,parallax,parallax_err,bmag,bmag_err,vmag,vmag_err,btmag,btmag_err,vtmag,vtmag_err,numax,numax_err,dnu,dnu_err,dmag,dmag_err,ra,dec,band,dir_dis,dir_dis_err1,dir_dis_err2,dir_avs,dir_avs_err1,dir_avs_err2,dir_rad,dir_rad_err1,dir_rad_err2,dir_lum,dir_lum_err1,dir_lum_err2,dir_teff,dir_teff_err1,dir_teff_err2,dir_mabs,dir_mabs_err1,dir_mabs_err2,dir_mass,dir_mass_err1,dir_mass_err2,dir_rho,dir_rho_err1,dir_rho_err2
KIC9468847,6064.0,52.0,3.9935827763183807,0.03132710196116805,-0.109,0.1,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,9.141,0.012,-99,0,-99,0,-99,0,0.003655662141029368,2.7158292267088572e-05,-99,0,-99.0,-99.0,-99,0,-99,0,-99,0,-99,0,-99.0,-99.0,293.43431430156863,46.074841410635564,kmag,273.59815598155984,2.0261002610025685,-2.001780017800229,0.09172656305195713,0.0,1.3877787807814457e-17,1.8136525950322517,0.043001603134491084,-0.041863424647159864,3.992977745817086,0.13039557973515592,-0.12426637339686408,6064.0,52.0,-52.0,1.946521826261347,0.034326399025857324,-0.03488941844399407,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC3657002,6006.0,64.0,4.160364323155415,0.026175351853378426,0.112,0.1,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,8.427,0.02,-99,0,-99,0,-99,0,0.006041532772919417,2.9322508029842927e-05,-99,0,-99.0,-99.0,-99,0,-99,0,-99,0,-99,0,-99.0,-99.0,294.33265110237653,38.74471821259211,kmag,165.53307533075332,0.7987079870798652,-0.7932479324793462,0.0,0.0,-0.0,1.5188271420330732,0.041664137553412806,-0.040389524985507075,2.6949631503444613,0.09167752532454942,-0.08784183737557072,6006.0,64.0,-64.0,2.3325620314392235,0.03597819556345083,-0.036321134713513725,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC9893470,5936.0,56.0,3.5856772900406666,0.033776404536006256,-0.054000000000000006,0.1,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,9.205,0.015,-99,0,-99,0,-99,0,0.001968854455392269,2.245809436923012e-05,-99,0,-99.0,-99.0,-99,0,-99,0,-99,0,-99,0,-99.0,-99.0,292.93683439543764,46.70843117677902,kmag,508.12769127691274,5.801968419684158,-5.687496874968701,0.21402865281636801,0.0,-0.0,3.331100804487458,0.0896224992801895,-0.08683336629419047,12.370840757807091,0.46955427418051343,-0.45121145014834774,5936.0,56.0,-56.0,0.6539185630809039,0.04034116794728149,-0.040447920960574146,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC9049593,5788.0,59.0,4.230742274088868,0.0336810940941346,0.202,0.1,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,9.06,0.02,-99,0,-99,0,-99,0,0.004660515397826792,2.6337353961299123e-05,-99,0,-99.0,-99.0,-99,0,-99,0,-99,0,-99,0,-99.0,-99.0,299.79141456211084,45.39168268670613,kmag,214.59044590445905,1.2066120661206696,-1.196227962279636,0.18345312610391426,0.0,2.7755575615628914e-17,1.5140878028827598,0.04062384926048601,-0.03948789069003866,2.3100841702345942,0.07976189789938015,-0.07650662626273474,5788.0,59.0,-59.0,2.3837757070133634,0.03656692374365855,-0.03685531115996188,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC10972873,5928.0,64.0,3.969060785156353,0.011693975413569079,-0.057,0.101,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,9.177999999999999,0.024,-99,0,-99,0,-99,0,0.0037271365379147477,2.8948979108927667e-05,-99,0,-99.0,-99.0,-99,0,-99,0,-99,0,-99,0,-99.0,-99.0,290.42641790801144,48.44325806448517,kmag,268.3562635626356,2.0786107861079017,-2.052260522605195,0.1528775993914605,0.0,-0.0,1.775278538182413,0.0515073480829904,-0.05008952154902735,3.494344080204465,0.13324598039563096,-0.12810859015391785,5928.0,64.0,-64.0,2.0192118053103947,0.040552930823781974,-0.04063134132477586,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC9289275,6227.0,48.0,4.078873516049125,0.017010110338958526,0.092,0.1,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,8.36,0.012,-99,0,-99,0,-99,0,0.005293178601270029,2.5659286163959922e-05,-99,0,-99.0,-99.0,-99,0,-99,0,-99,0,-99,0,-99.0,-99.0,295.09448049497183,45.7765406557882,kmag,188.93615936159364,0.9105291052910331,-0.90428904289044,0.06115104203463809,0.0,-0.0,1.7596539919744971,0.03806232044840341,-0.037319085586094536,4.179322964485996,0.12754786762767178,-0.12179126316819389,6227.0,48.0,-48.0,1.9724780802954571,0.032110029175458354,-0.03263978418459268,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC8367710,6352.0,66.0,3.982260878560888,0.012548777887486377,0.014,0.1,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,8.749,0.015,-99,0,-99,0,-99,0,0.003639400643642226,3.079112453283617e-05,-99,0,-99.0,-99.0,-99,0,-99,0,-99,0,-99,0,-99.0,-99.0,292.6382149954232,44.37020543388109,kmag,274.83655836558364,2.3203132031320592,-2.2879128791287826,0.3363307368856442,0.0,-0.0,2.1522335042219707,0.058641873447310644,-0.05671193570194655,6.770433716857206,0.23508495508045701,-0.22419399350138658,6352.0,66.0,-66.0,1.5204563983846628,0.036561463835567576,-0.03705951069331803,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC7584900,4955.0,71.0,3.4236066210815226,0.007177735636118841,0.284,0.101,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,9.095,0.011000000000000001,-99,0,-99,0,-99,0,0.0017897744687360348,4.3987038142069856e-05,-99,0,-99.0,-99.0,-99,0,-99,0,-99,0,-99,0,-99.0,-99.0,282.3893098324809,43.28173938538623,kmag,559.8935189351894,13.992299922999223,-13.361180011800116,0.1528775993914605,0.0,-0.0,4.256862267029307,0.17577088562584287,-0.16698763700457953,9.806481102288107,0.5710435427814691,-0.5321369143508541,4955.0,71.0,-71.0,0.33919630920854393,0.0605749660826575,-0.06145144419457449,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC4755204,6073.0,70.0,4.0891434819101935,0.014156806495550081,-0.07200000000000001,0.1,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,9.263,0.018000000000000002,-99,0,-99,0,-99,0,0.003971338497849052,4.23394766513371e-05,-99,0,-99.0,-99.0,-99,0,-99,0,-99,0,-99,0,-99.0,-99.0,294.1491090249452,39.81192203910828,kmag,251.90369903699036,2.6865568655686616,-2.6374163741637346,0.24460416813855235,0.0,-0.0,1.5890011904817554,0.04805908366106593,-0.046316818936011694,3.083751998023055,0.11816506749320732,-0.11305689290929744,6073.0,70.0,-70.0,2.2326552934595876,0.04055340814271391,-0.04082658740244138,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC10272858,5208.0,68.0,3.4613965115302143,0.007108363741145628,-0.053,0.103,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,9.38,0.013999999999999999,-99,0,-99,0,-99,0,0.0018102897571929464,2.46189363477299e-05,-99,0,-99.0,-99.0,-99,0,-99,0,-99,0,-99,0,-99.0,-99.0,291.36288353800813,47.32866822298559,kmag,552.7367623676237,7.542691626916167,-7.362478624786263,0.12230208406927617,0.0,-0.0,3.584763246426545,0.11990908566182412,-0.11549982490792488,8.488026455195012,0.3447991658855116,-0.32911439896202843,5208.0,68.0,-68.0,0.6552539729258586,0.04293618133555732,-0.04323233031857043,0.0,0.0,-0.0,0.0,0.0,-0.0
