var_name,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,50th,16th,84th
yp,0.2473064561893075,0.0009909168291689769,0.24545687033003832,0.2491658061822279,5.791876322365145e-06,4.095516008694705e-06,29270.884735760257,29270.884735760257,29279.374617898135,14377.553924914908,1.0000790921086842,0.2473111313310669,0.24631959563511152,0.24829311199996745
z_latent[0],0.012337870327889,0.0019216614959762116,0.008777188932814336,0.01600317075699601,1.039262574159848e-05,7.583699771392347e-06,34190.32279938685,32104.754992596852,34203.54422901937,12448.155626470558,1.0000602513305434,0.012329714273138424,0.010427626545103211,0.014252781967912569
z_latent[1],0.007439359801560342,0.0011875957073168766,0.005181939805987791,0.009633299974063475,7.053100300539267e-06,5.090230595656169e-06,28351.570328339418,27217.088903842785,28344.529239754895,13120.122209786816,1.0000197259542214,0.007444365723790583,0.006266972078827541,0.008613075879374087
z_latent[2],0.00832647267272558,0.0009141959790782256,0.006604757013450326,0.010037508795299601,5.121268282897625e-06,3.6718326113948486e-06,31865.707018190893,30994.95638107689,31883.53393197542,13588.003724310754,1.0006341037383646,0.008325251708504715,0.0074191464690472105,0.009229392710353923
z_latent[3],0.012163458040165703,0.001715297280587033,0.0089826013633693,0.015390881640221385,9.489271404612733e-06,6.80744111206828e-06,32674.80932067764,31746.000012222867,32673.98496503999,13411.261768883813,1.000060939927129,0.012171499655116578,0.010465843835598341,0.013874474193757255
z_latent[4],0.00878976746584469,0.001321969991173933,0.006329096625600188,0.011349891488314006,7.4339710897557244e-06,5.296886348428553e-06,31622.882753563932,31144.4060129838,31662.362176668077,13078.718526663662,1.0000690668205523,0.008798645920284088,0.007478802011041008,0.010081040417479715
z_latent[5],0.013766649081609324,0.001284135796187854,0.01135314279871645,0.016172564531621334,8.65308497161489e-06,6.11873613510936e-06,22023.176936154516,22023.176936154516,22048.62808668741,13750.829204425965,1.0002733310548404,0.013768365390255381,0.01249767525752241,0.015028647659513462
z_latent[6],0.014762958619614594,0.0022040726343333663,0.010623746972738891,0.01888990060136698,1.314258328007628e-05,9.536849319867817e-06,28124.857421907996,26706.77335027796,28095.763417622653,13174.207058256847,0.9999741181685591,0.01475202674136845,0.012590611330613372,0.016948767429976745
z_latent[7],0.013648089814069769,0.0020743115613293395,0.009754811682019261,0.017487040355880695,1.2020633805281174e-05,8.616586777593962e-06,29777.84340341304,28977.186257297755,29773.641499471476,12915.5736027212,1.000227809408051,0.013656840428152888,0.011602318958576342,0.01571730999292202
z_latent[8],0.012511576937272995,0.0017916570078286241,0.009060753624558587,0.015788617972315736,9.729193849307606e-06,6.983965712247348e-06,33912.20524468569,32906.61798944702,33944.02798823188,13005.039062582735,0.9999487354873086,0.012515077453360656,0.010729413772101886,0.014284597498268482
