epochs,loss,mae,val_loss,val_mae
0,0.5731599299311638,0.4866859018802643,0.34874611850797665,0.3480975329875946
1,0.3460682230591774,0.30258607864379883,0.2611470368985029,0.2605019807815552
2,0.252401735663414,0.23187248408794403,0.20319384402072652,0.20255029201507568
3,0.17620944482088088,0.16246740520000458,0.15264987524039866,0.1520051658153534
4,0.13179393911361695,0.11964903026819229,0.10560480170993675,0.1049598902463913
5,0.10025266121327878,0.09110066294670105,0.0832802232426042,0.08263466507196426
6,0.07876815037429333,0.07297436147928238,0.06340387961901145,0.06275749951601028
7,0.061354244247078894,0.05720081552863121,0.04850737389748886,0.047859109938144684
8,0.05061195190250874,0.04822782054543495,0.04641100193995967,0.04576136916875839
9,0.043329223282635214,0.04111684858798981,0.03903103142402358,0.03838067874312401
10,0.03781447622179985,0.03501436859369278,0.03367437971557939,0.033023297786712646
11,0.033340096186846496,0.030228937044739723,0.02846437225583314,0.027812253683805466
12,0.02979918335750699,0.026386206969618797,0.02550509309014409,0.024851592257618904
13,0.02702524833753705,0.023582391440868378,0.023043596623534283,0.022388597950339317
14,0.024886940982192754,0.021593667566776276,0.02122643145124315,0.020570067688822746
15,0.023183903887867927,0.02000911347568035,0.01979329165203637,0.019135642796754837
16,0.021675321571528912,0.018623191863298416,0.01853198756890527,0.017873145639896393
17,0.020339465040713548,0.017397020012140274,0.017566435208517542,0.01690642721951008
18,0.019139644794166088,0.016338666900992393,0.016575198236181674,0.015914011746644974
19,0.018110484156757593,0.01540375966578722,0.015600538380003364,0.014938168227672577
20,0.01718051665276289,0.014537066221237183,0.014868352515285491,0.0142048429697752
21,0.016446371365338563,0.013853850774466991,0.014154556184352064,0.013489966280758381
22,0.01577236116118729,0.013230899348855019,0.013618029355706659,0.012952446937561035
23,0.015176802499219775,0.012662369757890701,0.013090754851459661,0.012424269691109657
24,0.014692805459722876,0.01218984741717577,0.012694391126770517,0.012027109041810036
25,0.014301945116370916,0.011819424107670784,0.012393744138308321,0.01172572374343872
26,0.013892331881448627,0.01144314743578434,0.011996927130297076,0.011328215710818768
27,0.013601237898692489,0.01113978587090969,0.011732986880444744,0.011063609272241592
28,0.01327011924982071,0.01083303801715374,0.011387135662359313,0.010717103257775307
29,0.012887228107079863,0.010495121590793133,0.010996497418070388,0.010325833223760128
30,0.012615046909078956,0.010241164825856686,0.010850371151891972,0.010179097764194012
31,0.012381743431091309,0.010019627399742603,0.010566679409315981,0.00989481434226036
32,0.012219232026487588,0.009852828457951546,0.010510352286890127,0.009837926365435123
33,0.012054638359695674,0.009682570584118366,0.010253282471519716,0.009580321609973907
34,0.01177657837048173,0.009445428848266602,0.009949852036177131,0.009276370517909527
35,0.011559079507365823,0.009253960102796555,0.009791960149255341,0.0091179758310318
36,0.011401990296319126,0.009100777097046375,0.009775391497468542,0.009100920520722866
37,0.01117809683084488,0.008913472294807434,0.009493078655645845,0.0088181272149086
38,0.010976531529799103,0.008748696185648441,0.009323055420565858,0.008647636510431767
39,0.01094490965642035,0.008672834374010563,0.009314550253904487,0.008638672530651093
40,0.010707225726917386,0.008491073735058308,0.009046356679915194,0.008370035327970982
41,0.010432834986597299,0.008280067704617977,0.008878413557924077,0.008201643824577332
42,0.010274658488109708,0.008139894343912601,0.008746191979498176,0.008068971335887909
43,0.010125953735783696,0.008025728166103363,0.008684847526327413,0.008007172495126724
44,0.010005538644269108,0.007917340844869614,0.008613943970574488,0.007935822941362858
45,0.009903422445058823,0.00781845860183239,0.008504134183673314,0.007825572974979877
46,0.009788152964785695,0.007733378559350967,0.008360305177898522,0.0076813120394945145
47,0.009628981787711382,0.00757564976811409,0.008336401980941653,0.007656985893845558
48,0.009572878388687969,0.007520026061683893,0.008316554942009155,0.007636732421815395
49,0.009450043266639114,0.0074262735433876514,0.00807313277824588,0.007392924278974533
50,0.009354485098272563,0.00736216502264142,0.007874824958974609,0.007194234058260918
51,0.009262219103053212,0.0072707487270236015,0.007956400235988896,0.007275445386767387
52,0.009177220763638616,0.007186603266745806,0.007683270660484632,0.007001962047070265
53,0.00905956836231053,0.007060943637043238,0.007644120954102133,0.006962467450648546
54,0.008843297136947512,0.00692012719810009,0.007787650694704826,0.007105659227818251
55,0.008768494885414839,0.006856635212898254,0.00765462605260353,0.006972307804971933
56,0.008688217082992196,0.0067597744055092335,0.007343763435347102,0.006661121267825365
57,0.008616910012438894,0.006704035215079784,0.007283193624587441,0.006600243970751762
58,0.008542180856689811,0.0066247256472706795,0.007183107753749446,0.0064998529851436615
59,0.008466354239732026,0.006568943616002798,0.007093627143765603,0.006410080473870039
60,0.008420297596603631,0.006521241273730993,0.007178255294451853,0.006494421511888504
61,0.008453964402899146,0.006556421983987093,0.007125786196870132,0.006441682111471891
62,0.008265382265672088,0.0064623113721609116,0.00728409485439215,0.006599728949368
63,0.008165930600836873,0.006346679292619228,0.006996885363129575,0.006312258541584015
64,0.008109935185872018,0.006263085175305605,0.006851463840675316,0.006166583392769098
65,0.007965626533143222,0.006140857469290495,0.006738782019880541,0.0060536544770002365
66,0.007914424639195203,0.0060721575282514095,0.006753170079982752,0.006067794281989336
67,0.007887146273627877,0.006047896575182676,0.006729819548737961,0.00604419969022274
68,0.007901883259415626,0.006040824111551046,0.006748429576377816,0.006062578409910202
69,0.007806268156506121,0.005962256342172623,0.006606167874778777,0.005920093040913343
70,0.007842675816267729,0.005956608336418867,0.006502995483123786,0.005816708784550428
71,0.007671471437439323,0.005836674943566322,0.006452580041153361,0.005766088608652353
72,0.007633160951547324,0.005788412410765886,0.006522944040153326,0.005836247932165861
73,0.007540448728948832,0.005703940521925688,0.006405569155334465,0.00571867311373353
74,0.0076208942010998725,0.005749449133872986,0.006496562969431412,0.005809474736452103
