name,teff,teff_err,lum,lum_err,dnu,dnu_err,mhs,mhs_err,logg,logg_err,bad_data,on_grid_1e,on_grid_2e
KIC8150065,6103.1377,130.70227,2.698358440483667,0.08623415255849888,89.055,0.362,0.0072965,0.011634209,4.232673288905676,0.015811457785090147,0,0,0
KIC5530375,5916.5645,124.42721599999999,7.430425953009591,0.9168087399712856,35.175,0.865,-0.12603155,0.017898517,3.693205699085578,0.020541485956297945,0,0,0
KIC6287060,5767.795,116.600525,2.899457748365628,0.09891705997586088,80.146,2.235,0.023579,0.00919272,4.151762433618042,0.05660192715011945,0,0,0
KIC4915148,4911.565,86.660645,3.274799858127305,0.11013303905600402,35.351,0.281,0.11376845,0.0062293187,3.666209707256525,0.008851610104973292,0,0,0
KIC7386523,5710.5015,133.0813,4.6551760261822865,0.1802535407498631,48.747,3.067,0.00686695,0.016877776,3.9052184904894034,0.032280115764157125,0,0,0
KIC9353712,6115.88,132.43933,6.088318253029818,0.22151960980219165,51.46100000000001,0.141,-0.079858005,0.012496358,3.9239345484466313,0.00884063249483019,0,0,0
KIC9579208,6238.4519999999975,139.54816,4.60189178957566,0.14228111422692002,61.95399999999999,0.341,-0.188849,0.014901973,4.013571158058888,0.01896943746789581,0,0,0
KIC5516982,6283.0635,139.64755,3.447329183495317,0.11307680131496367,84.156,0.392,-0.049700997999999996,0.014039626000000001,4.197846882865348,0.012993354229978629,0,0,0
KIC8952800,5859.501,119.48037,5.009085605670638,0.17622604581670398,53.048,1.346,0.125911,0.009085483,3.9393229786269646,0.012670668059398206,0,0,0
KIC7800289,6259.6943,141.00305,12.122661161760824,0.3851613971886181,33.597,0.153,-0.22314155,0.032797507999999996,3.7335200628963165,0.012513737007434713,0,0,0
KIC8394589,6075.584,133.65926000000002,1.89358719134934,0.0615795665803387,109.443,0.204,-0.30133899999999997,0.014178173999999997,4.336349512452899,0.009911978668545951,0,1,0
KIC8493800,5988.038000000001,127.73806,2.628496815879884,0.08593903988986895,83.226,1.453,0.06140900000000001,0.010652652,4.218595790191996,0.03726552193670201,0,0,0
KIC11496573,5020.317,90.825294,7.482533273496281,0.34693860819847444,23.272,0.5329999999999999,0.01171445,0.0068898303,3.4641759467912965,0.011164589259065001,0,0,0
KIC11307875,5005.9175,89.683846,8.844767266978101,0.376522173704954,19.935,0.264,0.08802445,0.006590166,3.3940674616117734,0.0218410402500352,0,0,0
KIC11021413,5302.0234,100.42275,3.119729236477129,0.11225850724618658,48.164,1.288,-0.046308547,0.008559679,3.839227342704578,0.013024317277432529,0,1,0
KIC3657002,5925.281999999997,121.52145,2.5715580102943103,0.08743191857085543,80.096,1.018,0.135811,0.009349362,4.157426171428252,0.02645048722551615,0,0,0
KIC7103006,6345.3105,140.20533999999998,5.493679761150137,0.1861253327903647,59.603,0.086,0.11524100000000001,0.013220333,4.0357090678153895,0.008501851690389903,0,0,0
KIC6520835,6152.7890000000025,132.97435,6.610879408230206,0.21146712548003066,49.844,0.521,0.0016634,0.012143518999999998,3.912545206915407,0.023130989139451098,0,0,0
KIC8106950,5809.927,143.3692,3.056472873973772,0.13847099116872966,62.06100000000001,6.098,-0.34374899999999997,0.015788208999999997,4.008548936929241,0.03994411491303927,0,1,1
KIC9051235,6106.3584,127.57151999999999,5.751821274859007,0.22301982274882004,51.208,3.8,0.254521,0.009791578,3.918483419465917,0.053385363275982936,0,0,0
KIC9143749,5748.846,120.58058999999999,3.387136479937405,0.12271225731876045,64.977,1.891,-0.031467,0.010007627,4.0284530656646895,0.022478154971539828,0,1,0
KIC8289241,6185.0059999999985,133.46826000000001,2.5598667846678183,0.08058015709721111,95.976,4.165,0.070975,0.011868596,4.221944246880645,0.0300434676523192,0,0,0
KIC7870112,5563.0005,105.12162,2.3909120293496327,0.08595806720832577,69.435,6.2970000000000015,0.36458102,0.006480110999999999,4.092609068039302,0.031875574704461465,0,0,0
KIC7771282,6053.843000000003,129.30421,3.5392993720241392,0.11801469813759803,72.313,0.198,-0.049161,0.011667982,4.122008531889886,0.02111246406718325,0,0,0
KIC7529180,6639.3105,155.69713000000004,3.9482847767755116,0.1318834885798359,86.427,1.294,0.054974,0.018515913000000002,4.259426994501409,0.014982301832555266,0,0,0
KIC11075448,6511.193,149.5756,3.9329072727339582,0.13837148347105632,78.101,2.865,0.026953999,0.016501093,4.200825406120543,0.05515786596782611,0,0,0
KIC9697131,6178.884,133.32806000000002,5.036516780105317,0.18018075671200415,60.05,0.389,0.061183,0.01189129,4.017008579291336,0.01444671798809308,0,0,0
KIC7107778,5004.1978,89.64242,9.038850188623249,0.3699775224367201,31.938,0.434,0.08690045,0.006587956999999999,3.648102823608329,0.01031411634229463,0,0,0
KIC10088136,5152.788,111.99571,6.992561442985443,0.2507438958348427,24.824,2.134,-0.34950155,0.011262227,3.4843146114993533,0.03429500870968739,0,0,0
KIC8499940,5836.3516,130.811,2.7951842960120303,0.09265797606703252,69.493,1.05,0.045057002,0.010997021000000001,4.064117164918349,0.021082767028139587,0,0,0
KIC8174981,6012.63,126.39233,5.28231233777519,0.1859148196638154,53.743,1.008,0.038218003,0.010643426000000001,3.9535506667803286,0.028190054161619262,0,0,0
KIC8424992,5607.4519999999975,129.7734,1.0325221010817065,0.03131241990071332,120.914,0.305,-0.10870899999999999,0.011840406000000001,4.343541897449103,0.014734601401113613,0,1,1
KIC6370489,6251.8794,142.75218,5.481963748579783,0.1756230159874681,52.168,0.308,-0.36647898,0.017080968000000002,3.9256232007031686,0.010416453729458978,0,0,0
KIC9266926,5630.714,116.23126,2.0730262637424435,0.07082951897537981,75.081,1.4580000000000002,-0.39438897,0.011555313000000001,4.064649758338022,0.01727566816486055,0,1,1
KIC10655953,6218.2695,136.96258999999998,2.1324144360232458,0.08027666635614006,105.098,2.326,-0.072376005,0.013497193000000001,4.306151538561475,0.02937170401073028,0,0,0
KIC3735871,6011.5913,126.891426,1.3997677968459528,0.044913493512237945,122.856,0.472,-0.0036517002,0.010956451,4.405951081075005,0.012131043020856998,0,1,0
KIC8738809,6078.206,127.92086,5.785908090202534,0.21440535799528604,49.456,0.14800000000000002,0.135631,0.010423847,3.9054606600684414,0.012909375055221434,0,0,0
KIC5636956,6307.743,138.15598,6.868630609475317,0.242471401777034,55.235,1.415,0.135951,0.012594188999999999,3.9725636602295498,0.0176591760642748,0,0,0
