name,teff,teff_err,lum,lum_err,dnu,dnu_err,mhs,mhs_err,logg,logg_err,bad_data,on_grid_1e,on_grid_2e
KIC5950854,6163.4889753291245,123.26977950658251,2.045304070781481,0.07054845127359942,96.857,0.194,-0.17308477,0.07396448,4.237158310328287,0.009835588893366536,0,1,1
KIC7799349,5037.396585473899,100.74793170947798,4.572667661888121,0.14343120099073126,33.299,0.322,0.28461868,0.029483877000000002,3.6709836387767134,0.007718492970201674,0,0,0
KIC12069569,6533.2050821308785,130.6641016426176,8.901182130105852,0.3628342573349883,44.687,2.162,-0.08424437,0.06665865,3.8257120116400456,0.06099863276475436,0,0,0
KIC5822889,5018.2101449880765,100.36420289976152,11.71737964983435,0.645930041995026,19.708,0.127,-0.026246369,0.03918645,3.4017062807563425,0.012166579945117998,0,0,0
KIC10070754,6562.767955427054,131.25535910854106,2.720209399067341,0.08485983582289514,100.028,2.262,-0.27157915,0.0855183,4.2988759884366825,0.0471316191088727,0,0,0
KIC6947945,5524.511029387705,110.49022058775411,4.205668233568671,0.16996598182247524,43.66,1.416,-0.04151237,0.043106824,3.7940632161626073,0.01100358534042036,0,0,0
KIC8016496,6666.375040273823,133.32750080547646,6.557135503110451,0.3794807864101939,53.51300000000001,3.752,0.08688585,0.09108436,3.981427955566273,0.04277431075505722,0,0,0
KIC6802438,5310.509870439761,106.21019740879521,5.364623773437323,0.183072801995694,34.56,0.183,-0.20154336,0.043351967000000005,3.678848253773519,0.012742467538505315,0,0,0
KIC3112152,6194.2658361679005,123.885316723358,3.8596781309831503,0.14959500570811102,65.13,2.122,-0.022780257999999998,0.074551165,4.040597722433964,0.02026950399123071,0,0,0
KIC3942719,5572.109097210502,111.44218194421005,4.44334198019234,0.19398337085645775,45.463,1.208,-0.31492338,0.060011942,3.83861232956371,0.0129406524970641,0,1,0
KIC4457351,5688.099362922552,113.76198725845104,3.1624373293732484,0.11844640361226855,61.01600000000001,2.546,-0.27984336,0.04706973,3.964329840306272,0.017045383451039328,0,1,0
KIC10923629,6461.857253282283,129.23714506564565,10.082607027032507,0.3433210011974825,42.207,0.234,0.18811315,0.08009443,3.838322084043248,0.012380953540503456,0,0,0
KIC4914923,5816.866999549887,116.33733999099772,2.0934360850379985,0.08562380872765285,39.276,0.309,0.12559848,0.071260646,3.7869060842499263,0.021518051557626008,0,0,0
KIC6049366,6520.803912276668,130.41607824553333,5.147961446843323,0.19108994165292792,60.36,3.951,-0.14652172,0.08181338,3.999780703053928,0.05141424485378459,0,0,0
KIC3223000,6093.289419518686,121.86578839037372,2.0407494711873917,0.09185194972047306,110.919,1.662,-0.15295815,0.07541221,4.3656997625991565,0.09528194930142564,0,1,1
KIC10130853,4863.378039478437,97.26756078956876,7.200973511666413,0.28486637819162564,20.306,0.116,0.36654657,0.025664434,3.3807048106539974,0.007973556003927662,0,0,0
KIC3630240,5198.701052571817,103.97402105143635,6.991688801938527,0.3085580496496201,18.327,0.31,-0.5496945,0.04725237,3.3219475293385883,0.012019734660931564,0,0,0
KIC7910848,6075.185586030258,121.50371172060514,3.4882620123502583,0.11934751109993826,73.054,2.728,0.16036505,0.077242844,4.0615684308158615,0.11447117227855436,0,0,0
KIC11674236,5565.577426505782,111.31154853011563,3.5046978374959807,0.1314227477500336,51.00899999999999,0.99,0.19948663,0.040089282999999996,3.8843028015638255,0.03898488340523374,0,0,0
KIC7429287,5797.093829489001,115.94187658978005,2.425291254367626,0.08128775804913957,71.244,1.211,-0.30524686,0.07065628,4.076473904387857,0.016897323349157608,0,1,1
KIC9965715,5998.843732917072,119.97687465834144,2.5403267875747657,0.07765463495679459,97.315,0.16399999999999998,-0.3716735,0.07696733,4.275308077097564,0.008975677559508826,0,0,0
