name,teff,teff_err,lum,lum_err,dnu,dnu_err,mhs,mhs_err,logg,logg_err,bad_data,on_grid_1e,on_grid_2e
KIC8938364,5979.630844117353,119.59261688234707,2.019621541536856,0.06669846103595045,85.678,0.097,-0.12359901,0.010168370999999999,4.169547363384478,0.008082556167364259,0,1,1
KIC6592305,6050.392674890947,121.00785349781894,6.533028094684813,0.21044625229327973,46.861,0.6990000000000001,0.10183400000000001,0.010740441000000002,3.8820183719573262,0.018387782125201344,0,0,0
KIC5723165,5350.711941302846,107.01423882605692,5.299979276587231,0.18047942054273933,34.5,0.39,-0.04955055,0.008183511,3.6843613645158806,0.008402545296266415,0,0,0
KIC5390438,4927.647121971228,98.55294243942457,7.214979710469824,0.33815420162548104,21.183000000000003,0.387,0.21966845,0.0057467814,3.385611736049736,0.00932972582559311,0,0,0
KIC6688822,5852.325308249003,117.04650616498007,6.5822849218798005,0.3519359428360582,47.048,0.721,0.32278103,0.006890736999999999,3.859653719602123,0.02617552204267421,0,0,0
KIC3952307,6151.373566382907,123.02747132765812,5.882984530576207,0.2198501763611249,51.339,1.106,0.0061256,0.010908351,3.8874717993680217,0.029301506142647763,0,0,0
KIC10963065,6101.055601797687,122.0211120359537,1.9398949732285349,0.06199300387913631,103.211,0.108,-0.173509,0.012265215,4.293911525760998,0.008693245477535114,0,1,0
KIC4641621,5892.137898823687,117.8427579764737,10.943282239043484,0.4817240774615801,30.649,1.011,-0.18921155,0.017869327,3.60879020175298,0.04506066613110938,0,0,0
KIC6806100,5621.182664733986,112.42365329467972,6.106543281190004,0.4201169810133667,45.815,2.052,0.29295844,0.0066039064,3.882459629571695,0.08451478219148917,0,0,0
KIC9163769,6277.346126881372,125.54692253762742,3.657800651194762,0.11730192225250713,80.202,2.088,0.084318995,0.014598518999999999,4.2445713922794965,0.06749992688960055,0,0,0
KIC11083308,6371.481895268804,127.42963790537607,6.65998135293955,0.2752447043978652,51.208,2.443,0.0092074,0.011931997,3.916223146539064,0.03716883199738987,0,0,0
KIC11401156,5042.794119115203,100.85588238230406,3.8988958317707207,0.13435241033263925,35.99800000000001,0.698,0.06402445,0.006751194,3.6801642092399134,0.01410502282996809,0,0,0
